time_s,mean,std,seed0,seed1,seed2,seed3,seed4
360.75,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
361.00,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
361.25,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
361.50,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
361.75,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
362.00,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
362.25,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
362.50,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
362.75,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
363.00,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
363.25,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
363.50,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
363.75,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
364.00,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
364.25,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
364.50,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
364.75,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
365.00,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
365.25,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
365.50,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
365.75,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
366.00,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
366.25,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
366.50,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
366.75,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
367.00,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
367.25,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
367.50,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
367.75,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
368.00,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
368.25,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
368.50,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
368.75,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
369.00,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
369.25,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
369.50,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
369.75,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
370.00,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
370.25,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
370.50,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
370.75,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
371.00,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
371.25,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
371.50,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
371.75,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
372.00,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
372.25,0.300000,0.203101,0.000000,0.625000,0.250000,0.375000,0.250000
372.50,0.325000,0.217945,0.000000,0.625000,0.250000,0.500000,0.250000
372.75,0.325000,0.217945,0.000000,0.625000,0.250000,0.500000,0.250000
373.00,0.325000,0.217945,0.000000,0.625000,0.250000,0.500000,0.250000
373.25,0.350000,0.242384,0.000000,0.625000,0.250000,0.625000,0.250000
